DATASET INFORMATION:
TOTAL PACKAGES: 620221
TOTAL SNIPPETS: 2161911
AVERAGE SNIPPETS PER PACKAGE: 3.4857107385915667
MIN SNIPPETS: 1 (0-100)
MAX SNIPPETS: 634 (rambdax)
NUM PACKAGES WITH DESCRIPTION: 616744/620221 (0.9943939337752188)
NUM PACKAGES WITH KEYWORDS: 415611/620221 (0.670101463833053)
NUM PACKAGES WITH RUN EXAMPLE: 346864/620221 (0.559258715844836)
NUM PACKAGES WITH LICENSE: 565452/620221 (0.9116943799065171)
NUM PACKAGES WITH INSTALL EXAMPLE: 454624/620221 (0.733003235943317)
NUM PACKAGES WITH LAST UPDATE: 620221/620221 (1)
NUM PACKAGES WITH REPOSITORY URL: 524252/620221 (0.8452664453477067)
--------
PARSING ERROR ANALYSIS

ERROR, SEVERITY, FATAL, NUM OCCURANCES, NUM AFFECTED SNIPPETS, PERCENT
Parsing error: Unexpected token, 2, true, 529551, 529551, 0.24494579101544883
Parsing error: 'import' and 'export' may appear only with 'sourceType: module', 2, true, 361761, 361761, 0.16733390042420804
Parsing error: Unexpected character, 2, true, 46767, 46767, 0.021632250356282013
Parsing error: Identifier has already been declared, 2, true, 9445, 9445, 0.004368819993052443
Parsing error: Invalid regular expression, 2, true, 4521, 4521, 0.00209120541964956
Parsing error: Assigning to rvalue, 2, true, 4144, 4144, 0.0019168226629125806
Parsing error: Unterminated regular expression, 2, true, 2911, 2911, 0.0013464939120990643
Parsing error: Identifier directly after number, 2, true, 2494, 2494, 0.0011536090061061719
Parsing error: Unterminated string constant, 2, true, 1907, 1907, 0.0008820899657756494
Parsing error: Expecting Unicode escape sequence \uXXXX, 2, true, 1518, 1518, 0.0007021565642618961
Parsing error: Shorthand property assignments are valid only in destructuring patterns, 2, true, 640, 640, 0.00029603438809460705
Parsing error: Unterminated template, 2, true, 616, 616, 0.0002849330985410593
Parsing error: Label is already declared, 2, true, 546, 546, 0.00025255433734321163
Parsing error: Unterminated comment, 2, true, 458, 458, 0.00021184960898020316
Parsing error: Duplicate regular expression flag, 2, true, 222, 222, 0.00010268692837031682
Parsing error: Reserved keyword, 2, true, 196, 196, 0.00009066053135397341
Parsing error: Unexpected keyword 'var', 2, true, 188, 188, 0.00008696010150279081
Parsing error: Unterminated template literal, 2, true, 130, 130, 0.000060131985081717055
Parsing error: 'import' and 'export' may only appear at the top level, 2, true, 106, 106, 0.00004903069552816929
Parsing error: Unexpected keyword 'this', 2, true, 101, 101, 0.000046717926871180176
Parsing error: Unexpected keyword 'const', 2, true, 99, 99, 0.000045792819408384527
Parsing error: super() call outside constructor of a subclass, 2, true, 73, 73, 0.00003376642239204112
Parsing error: Unexpected keyword 'new', 2, true, 63, 63, 0.00002914088507806288
Parsing error: Unexpected keyword 'default', 2, true, 61, 61, 0.000028215777615267232
Parsing error: Unexpected keyword 'true', 2, true, 58, 58, 0.00002682811642107376
Parsing error: Invalid number, 2, true, 56, 56, 0.000025903008958278115
Parsing error: Expected number in radix 16, 2, true, 55, 55, 0.000025440455226880294
Parsing error: 'super' keyword outside a method, 2, true, 54, 54, 0.00002497790149548247
Parsing error: Argument name clash, 2, true, 52, 52, 0.000024052794032686823
Parsing error: Unexpected keyword 'return', 2, true, 50, 50, 0.000023127686569891174
Parsing error: Unexpected keyword 'function', 2, true, 49, 49, 0.000022665132838493353
Parsing error: Cannot use 'import.meta' outside a module, 2, true, 46, 46, 0.000021277471644299882
